,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
90,90,902.1766888,2021-03-18 14:51:03.695140,2021-03-18 15:12:15.521925,0 days 00:21:11.826785000,256,10000,auto,0.98,1000,-2.2279539253845644,0.004116392361652917,medium,0.01,16,COMPLETE
91,91,885.5686062000001,2021-03-18 14:56:16.919627,2021-03-18 15:25:37.567857,0 days 00:29:20.648230000,2048,10000,auto,0.98,1000,-0.0749616221767998,0.004300579891399752,medium,0.01,16,COMPLETE
92,92,869.2848316,2021-03-18 15:12:15.523968,2021-03-18 15:38:29.781395,0 days 00:26:14.257427000,2048,100000,auto,0.995,10000,-0.05487398078820016,0.0013082282165854109,medium,0.005,128,COMPLETE
93,93,-1.163485,2021-03-18 15:25:37.569899,2021-03-18 15:29:28.183967,0 days 00:03:50.614068000,256,100000,auto,0.995,10000,-1.7083629866407597,0.001691369685880145,medium,0.005,128,PRUNED
94,94,-399.8863556,2021-03-18 15:29:28.185210,2021-03-18 15:35:51.201420,0 days 00:06:23.016210000,256,1000000,auto,0.9999,0,-0.9326198547582067,0.03922787001397375,medium,0.02,16,PRUNED
95,95,56.46223100000001,2021-03-18 15:35:51.203063,2021-03-18 15:49:47.125138,0 days 00:13:55.922075000,256,10000,auto,0.9999,0,-1.986144394892256,0.0013012555066423033,medium,0.02,16,PRUNED
96,96,-0.13109120000000002,2021-03-18 15:38:29.783375,2021-03-18 15:47:23.068609,0 days 00:08:53.285234000,256,10000,auto,0.9999,0,-1.9812813688556,0.0016190163482262215,medium,0.02,16,PRUNED
97,97,-0.3146584,2021-03-18 15:47:23.069841,2021-03-18 15:56:00.143991,0 days 00:08:37.074150000,256,10000,auto,0.9999,0,-1.5653434807568813,0.007016925123050585,medium,0.02,16,PRUNED
98,98,-0.9492629999999999,2021-03-18 15:49:47.126688,2021-03-18 15:57:09.461927,0 days 00:07:22.335239000,256,10000,auto,0.9999,0,-1.5460675879123515,0.007530377052465041,medium,0.02,16,PRUNED
99,99,-399.89193240000003,2021-03-18 15:56:00.145250,2021-03-18 16:04:00.739389,0 days 00:08:00.594139000,256,10000,auto,0.9999,0,-2.618859645269263,0.009415916653836547,medium,0.02,16,PRUNED
100,100,880.348964,2021-03-18 15:57:09.462612,2021-03-18 16:23:04.482435,0 days 00:25:55.019823000,512,10000,auto,0.9999,0,-2.165017740141045,0.0051329475871258355,medium,0.02,16,COMPLETE
101,101,898.3351782,2021-03-18 16:04:00.740576,2021-03-18 16:30:18.863503,0 days 00:26:18.122927000,512,10000,auto,0.9999,0,-2.1482840475982274,0.005613866792195047,medium,0.02,8,COMPLETE
102,102,595.5204704,2021-03-18 16:23:04.484460,2021-03-18 16:44:18.934226,0 days 00:21:14.449766000,256,10000,auto,0.9999,10000,-1.1325709729615328,0.001992301877968444,medium,0.02,8,COMPLETE
103,103,814.0649754,2021-03-18 16:30:18.865818,2021-03-18 16:51:44.291533,0 days 00:21:25.425715000,256,10000,auto,0.99,10000,-1.7240210058167507,0.0020893831581464016,medium,0.02,256,COMPLETE
104,104,-1.115908,2021-03-18 16:44:18.936249,2021-03-18 16:51:20.487162,0 days 00:07:01.550913000,256,10000,auto,0.99,0,-1.717687451039759,0.021003356124106694,medium,0.02,64,PRUNED
105,105,44.0580008,2021-03-18 16:51:20.490424,2021-03-18 17:03:36.134520,0 days 00:12:15.644096000,256,10000,auto,0.98,1000,-2.2967169900318405,0.0036818053826155944,medium,0.01,16,PRUNED
106,106,880.9389289999999,2021-03-18 16:51:44.293107,2021-03-18 17:14:26.182678,0 days 00:22:41.889571000,256,10000,auto,0.98,1000,-2.285875070256962,0.00428046066082124,medium,0.01,16,COMPLETE
107,107,-0.34930720000000004,2021-03-18 17:03:36.135650,2021-03-18 17:10:15.869497,0 days 00:06:39.733847000,256,10000,auto,0.98,1000,-2.50480292955049,0.003671153126767767,medium,0.01,16,PRUNED
108,108,-400.060961,2021-03-18 17:10:15.870579,2021-03-18 17:16:43.343755,0 days 00:06:27.473176000,256,10000,auto,0.98,1000,-2.224974895607146,0.010045046540947275,medium,0.01,16,PRUNED
109,109,-0.6179814,2021-03-18 17:14:26.185012,2021-03-18 17:21:42.844816,0 days 00:07:16.659804000,1024,10000,auto,0.98,1000,-1.8885264633182706,0.0031777130028458832,medium,0.01,32,PRUNED
110,110,-0.0840256,2021-03-18 17:16:43.344838,2021-03-18 17:35:15.906190,0 days 00:18:32.561352000,1024,10000,auto,0.999,1000,-1.865744615403063,0.013841401428332014,medium,0.01,32,PRUNED
111,111,0.10033600000000001,2021-03-18 17:21:42.846020,2021-03-18 17:33:05.034352,0 days 00:11:22.188332000,256,10000,auto,0.999,20000,-2.0553909799380525,0.01380068532763819,medium,0.01,512,PRUNED
112,112,844.313485,2021-03-18 17:33:05.038094,2021-03-18 18:00:28.231305,0 days 00:27:23.193211000,256,10000,auto,0.9999,1000,-0.8618171412117299,0.006479342354347036,medium,0.02,16,COMPLETE
113,113,0.0105574,2021-03-18 17:35:15.907497,2021-03-18 17:43:06.000300,0 days 00:07:50.092803000,256,10000,auto,0.9999,0,-2.3922075189996406,0.00044074475004258015,medium,0.02,16,PRUNED
114,114,-0.3505636,2021-03-18 17:43:06.003812,2021-03-18 17:58:42.805960,0 days 00:15:36.802148000,256,10000,auto,0.9999,0,-3.0137602238773606,0.00245413262470649,medium,0.001,16,PRUNED
115,115,998.220634,2021-03-18 17:58:42.806973,2021-03-18 18:23:38.217716,0 days 00:24:55.410743000,512,10000,auto,0.9999,0,-2.2181688611211143,0.00635369541235604,medium,0.02,8,COMPLETE
116,116,0.5420852,2021-03-18 18:00:28.233543,2021-03-18 18:08:47.714121,0 days 00:08:19.480578000,512,10000,auto,0.9999,0,-2.125509123439731,0.0053201948179811675,medium,0.02,8,PRUNED
117,117,891.3522145999999,2021-03-18 18:08:47.716339,2021-03-18 18:36:04.389974,0 days 00:27:16.673635000,512,10000,auto,0.9999,0,-1.3949425010622052,0.00842458257941591,medium,0.02,8,COMPLETE
118,118,-0.45160659999999997,2021-03-18 18:23:38.219562,2021-03-18 18:30:42.312670,0 days 00:07:04.093108000,512,10000,auto,0.9999,0,-1.3645787611333486,0.00821361050039994,medium,0.02,8,PRUNED
