,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_starts,params_lr,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
94,94,-352.12011920000003,2021-05-04 14:39:07.826994,2021-05-04 14:45:01.277393,0 days 00:05:53.450399000,100,1000000,0.02391071293412858,0.4614446978138098,0.95,10000,0.0011901539979536884,medium,4,10000,4,COMPLETE
95,95,-365.4754004,2021-05-04 14:39:23.958126,2021-05-04 14:45:35.753186,0 days 00:06:11.795060000,100,1000000,0.03782323503807986,0.46518297409882364,0.95,10000,4.501512253491841e-05,medium,4,5000,4,COMPLETE
96,96,167.379187,2021-05-04 14:43:11.615322,2021-05-04 14:49:28.712634,0 days 00:06:17.097312000,100,1000000,0.024398476859447977,0.46920439121168367,0.99,10000,4.492730108771688e-05,medium,4,1000,4,COMPLETE
97,97,600.2367372000001,2021-05-04 14:45:01.282641,2021-05-04 14:58:33.519155,0 days 00:13:32.236514000,100,100000,0.00507606204808512,0.23397981455961245,0.99,10000,9.658573731743001e-05,medium,2,1000,1,COMPLETE
98,98,122.8199828,2021-05-04 14:45:35.755811,2021-05-04 15:01:29.617674,0 days 00:15:53.861863000,100,100000,0.004580649432405171,0.48537015647163595,0.99,10000,0.00011375918179792518,medium,2,1000,1,COMPLETE
99,99,314.73959460000003,2021-05-04 14:49:28.716340,2021-05-04 15:02:45.847957,0 days 00:13:17.131617000,32,100000,0.004992245251985784,0.43657752317804205,0.9,10000,0.0001042503260704513,medium,4,1000,1,COMPLETE
100,100,332.23311040000004,2021-05-04 14:58:33.524242,2021-05-04 15:15:47.336411,0 days 00:17:13.812169000,100,100000,0.004656479508527253,0.2124938236460212,0.99,10000,0.0001014367405177946,medium,2,1,1,COMPLETE
101,101,-172.557552,2021-05-04 15:01:29.623384,2021-05-04 15:19:20.388694,0 days 00:17:50.765310000,16,100000,0.056580262271001304,0.2693070335614305,0.99,10000,0.00048069170164407904,medium,2,1,1,COMPLETE
102,102,-3.1655511999999932,2021-05-04 15:02:45.851376,2021-05-04 15:14:39.923290,0 days 00:11:54.071914000,16,100000,0.09389817921797612,0.1948298511278289,0.99,10000,0.00048654032408444167,medium,2,1,1000,COMPLETE
103,103,127.88177500000002,2021-05-04 15:14:39.929150,2021-05-04 15:28:49.487441,0 days 00:14:09.558291000,100,100000,0.054523794205349425,0.21892243624845728,0.99,10000,8.131630980925005e-05,medium,2,1000,1,COMPLETE
104,104,155.7271906,2021-05-04 15:15:47.340146,2021-05-04 15:30:18.745778,0 days 00:14:31.405632000,100,100000,0.016702199278930352,0.24313850740858006,0.99,10000,0.000155208797833645,medium,2,1000,1,COMPLETE
105,105,675.4989063999999,2021-05-04 15:19:20.391158,2021-05-04 15:35:30.718288,0 days 00:16:10.327130000,100,100000,6.726738582380366e-05,0.4803263175317826,0.9,10000,0.0001608867465357574,medium,2,1000,1,COMPLETE
106,106,-74.1072602,2021-05-04 15:28:49.489430,2021-05-04 15:42:53.547429,0 days 00:14:04.057999000,100,100000,0.04802807735703668,0.146871012779152,0.9,10000,0.00015907499966384906,medium,4,1000,1,COMPLETE
107,107,178.304221,2021-05-04 15:30:18.749162,2021-05-04 15:43:35.499981,0 days 00:13:16.750819000,100,100000,0.018900692891387724,0.22167180044042512,0.95,10000,6.162652356673776e-05,medium,4,1000,1,COMPLETE
108,108,-281.8239728,2021-05-04 15:35:30.720832,2021-05-04 15:38:21.595544,0 days 00:02:50.874712000,100,100000,0.011346815062208554,0.47728295366537676,0.95,10000,0.0002155804984749176,medium,2,1000,1,PRUNED
109,109,-305.4648448,2021-05-04 15:38:21.597355,2021-05-04 15:43:43.381350,0 days 00:05:21.783995000,512,100000,0.060362714023249206,0.17196722112697832,0.9,10000,0.00016231858696730248,medium,2,1000,1,PRUNED
110,110,-108.03484180000001,2021-05-04 15:42:53.553033,2021-05-04 16:06:43.956395,0 days 00:23:50.403362000,512,100000,0.0001447293102250786,0.27618336878457556,0.95,1000,0.00026972749761258643,medium,2,1000,1,COMPLETE
111,111,417.8173972000001,2021-05-04 15:43:35.502949,2021-05-04 16:09:19.364641,0 days 00:25:43.861692000,512,100000,0.06020299307849014,0.17418974371815013,0.95,1000,0.0002793354911022106,medium,2,1000,1,COMPLETE
